scheduled_date,player_name,position,team_market,rec_rec,rec_yds,targets,grades_pass_route,pff_snaps,avg_depth_of_target,drop_rate,route_rate,slot_rate,wide_rate,yards_per_reception,yprr
2024-09-07,Markus Allen,WR,Eastern Michigan,1,11,66.0,68.0,611.0,12.0,6.5,93.3,9.3,90.7,15.1,2.02
2024-09-07,Markus Allen,WR,Eastern Michigan,1,9,66.0,68.0,611.0,12.0,6.5,93.3,9.3,90.7,15.1,2.02
2024-09-07,Denzel Boston,WR,Washington,1,18,98.0,77.5,767.0,11.4,4.5,97.4,12.6,87.0,13.2,1.86
2024-09-07,Jeremiah Hunter,WR,Washington,1,1,47.0,66.3,544.0,12.1,0.0,96.3,25.9,73.9,13.6,1.46
2024-09-07,Giles Jackson,WR,Washington,1,29,103.0,76.5,721.0,7.4,1.2,96.9,79.1,20.4,10.5,2.07
2024-09-07,Markus Allen,WR,Eastern Michigan,1,7,66.0,68.0,611.0,12.0,6.5,93.3,9.3,90.7,15.1,2.02
2024-09-07,Denzel Boston,WR,Washington,1,13,98.0,77.5,767.0,11.4,4.5,97.4,12.6,87.0,13.2,1.86
2024-09-07,Oran Singleton,WR,Eastern Michigan,1,1,98.0,72.8,698.0,9.9,3.0,93.5,91.5,7.9,9.8,1.58
2024-09-07,Jeremiah Hunter,WR,Washington,1,20,47.0,66.3,544.0,12.1,0.0,96.3,25.9,73.9,13.6,1.46
2024-09-07,Giles Jackson,WR,Washington,1,11,103.0,76.5,721.0,7.4,1.2,96.9,79.1,20.4,10.5,2.07
2024-09-07,Keleki Latu,TE,Washington,1,15,48.0,72.0,777.0,5.1,0.0,71.5,16.0,6.7,9.3,1.12
2024-09-07,Denzel Boston,WR,Washington,1,1,98.0,77.5,767.0,11.4,4.5,97.4,12.6,87.0,13.2,1.86
2024-09-07,Jeremiah Hunter,WR,Washington,1,21,47.0,66.3,544.0,12.1,0.0,96.3,25.9,73.9,13.6,1.46
2024-09-07,Giles Jackson,WR,Washington,1,7,103.0,76.5,721.0,7.4,1.2,96.9,79.1,20.4,10.5,2.07
2024-09-07,Giles Jackson,WR,Washington,1,6,103.0,76.5,721.0,7.4,1.2,96.9,79.1,20.4,10.5,2.07
2024-09-07,Jeremiah Hunter,WR,Washington,1,24,47.0,66.3,544.0,12.1,0.0,96.3,25.9,73.9,13.6,1.46
